Treatment,Mass.g,Height.cm,Trial
EOD FR,6.69,7,II
EOD FR,5.03,9,II
EOD FR,7.61,7,II
EOD FR,5.7,8,II
EOD FR,4.76,11,II
EOD FR,4.71,8.5,II
EOD FR,5.97,9.5,II
EOD FR,6.15,7,II
EOD FR,5.93,13.5,II
EOD FR,5.87,9,II
EOD FR,6.17,11,II
EOD FR,7.92,10.5,II
EOD FR,7.94,11,II
EOD FR,4.74,7.5,II
EOD FR,5.73,7,II
EOD FR,6.92,15.5,II
EOD FR,5.74,8,II
EOD FR,6.18,8,II
EOD FR,6.29,15,II
EOD FR,5.11,7,II
EOD R,6.45,3,II
EOD R,4.78,2,II
EOD R,5.08,3.5,II
EOD R,4.24,2,II
EOD R,6.06,2.5,II
EOD R,6.34,2,II
EOD R,6.25,3,II
EOD R,6.38,2.5,II
EOD R,7.33,3,II
EOD R,7.74,2.5,II
EOD R,5.15,2,II
EOD R,4.47,3,II
EOD R,5.34,1.5,II
EOD R,6.48,2.5,II
EOD R,6,3,II
EOD R,6,3,II
EOD R,4.65,2.5,II
EOD R,6.19,2,II
EOD R,5.84,3,II
EOD R,5.13,2,II
EOD R to FR,6.35,7,II
EOD R to FR,7.66,9,II
EOD R to FR,5.29,9,II
EOD R to FR,3.56,11,II
EOD R to FR,5.26,10,II
EOD R to FR,6.17,14,II
EOD R to FR,7.89,9.5,II
EOD R to FR,4.68,9,II
EOD R to FR,6.63,12,II
EOD R to FR,6.82,7,II
EOD R to FR,9.28,9.5,II
EOD R to FR,5.62,5.5,II
EOD R to FR,8.03,7,II
EOD R to FR,6.91,9.5,II
EOD R to FR,7.83,9,II
EOD R to FR,8.2,9,II
EOD R to FR,5.03,8.5,II
EOD R to FR,5.29,10,II
EOD R to FR,6.43,10,II
EOD R to FR,3.93,9,II
EOD FR,5.93,5.5,I
EOD FR,6.76,11,I
EOD FR,5.82,5.5,I
EOD FR,13.06,13,I
EOD FR,9.67,10,I
EOD FR,6.42,10,I
EOD FR,6.11,11.5,I
EOD FR,7.57,11,I
EOD FR,10.65,11,I
EOD FR,9.71,9.5,I
EOD FR,10.1,12,I
EOD FR,11.02,11.5,I
EOD FR,8.01,11,I
EOD FR,6.12,10,I
EOD FR,6.51,9,I
EOD FR,9.4,11.5,I
EOD FR,9.25,11,I
EOD FR,10.52,10.5,I
EOD FR,7.77,12,I
EOD FR,7.39,9.5,I
EOD R to FR,7.52,10,I
EOD R to FR,13.04,12,I
EOD R to FR,11.05,13,I
EOD R to FR,14.76,12,I
EOD R to FR,5.59,11.5,I
EOD R to FR,12.64,12,I
EOD R to FR,11.52,8,I
EOD R to FR,6.82,14,I
EOD R to FR,9.9,14,I
EOD R to FR,6.55,5,I
EOD R to FR,8.34,6,I
EOD R to FR,11.24,19,I
EOD R to FR,7.32,12,I
EOD R to FR,9.1,12,I
EOD R to FR,7.38,12,I
EOD R to FR,4.36,14,I
EOD R to FR,9.85,12,I
EOD R to FR,11.96,15,I
EOD R to FR,11.6,6,I
EOD R to FR,13.36,6,I
EOD R,10.44,5,I
EOD R,13.42,7,I
EOD R,8.09,5,I
EOD R,11.07,9,I
EOD R,7.12,4,I
EOD R,10.19,6,I
EOD R,8.28,7.5,I
EOD R,15.84,5,I
EOD R,8,6,I
EOD R,13.34,6.5,I
EOD R,13.13,6,I
EOD R,15.64,6,I
EOD R,10.72,7.5,I
EOD R,16.66,6,I
EOD R,8.08,7,I
EOD R,10.21,5,I
EOD R,3.25,8,I
EOD R,8.27,5,I
EOD R,10.68,3,I
EOD R,12.36,6,I